term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,tfidf_mean,df,idf,dfidf
0,3,1,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,0,0,0,0.00867521945756714,3,6.768184324776926,20.30455297433078
00,2,2,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,00,00,00,0.02685899300803242,1,8.353146825498083,8.353146825498083
022,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,022,022,022,0.000874583480839502,1,8.353146825498083,8.353146825498083
0333s,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,0333,0333s,0333s,0.000874583480839502,1,8.353146825498083,8.353146825498083
0375d,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,0375d,0375d,0375d,0.000874583480839502,1,8.353146825498083,8.353146825498083
05s,1,3,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,05,05s,05s,0.000874583480839502,1,8.353146825498083,8.353146825498083
1,55,1,0.0001259062387685912,12.955362607870525,CD,7,"{'JJ', 'IN', 'CD', 'VBZ', 'VB', 'NN', 'NNP'}",0,1,1,1,0.10288411673491063,21,3.9608294027193223,83.17741745710576
10,16,2,3.66272694599538e-05,14.736722321395185,CD,3,"{'CD', 'JJ', 'NN'}",0,10,10,10,0.016956881235813532,10,5.03121873061072,50.312187306107205
100,13,3,2.9759656436212466e-05,15.036282603254092,CD,2,"{'CD', 'NNP'}",0,100,100,100,0.011058521083302995,7,5.545791903440478,38.820543324083346
1000,3,4,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,1000,1000,1000,0.0011759989839658417,2,7.353146825498083,14.706293650996166
10000,4,5,9.15681736498845e-06,16.736722321395185,CD,1,{'CD'},0,10000,10000,10000,0.00864275316116128,2,7.353146825498083,14.706293650996166
100000,4,6,9.15681736498845e-06,16.736722321395185,CD,1,{'CD'},0,100000,100000,100000,0.01056984283371405,3,6.768184324776926,20.30455297433078
10000000,1,8,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,10000000,10000000,10000000,0.000874583480839502,1,8.353146825498083,8.353146825498083
10000030,1,8,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,10000030,10000030,10000030,0.017012518992867785,1,8.353146825498083,8.353146825498083
1006,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1006,1006,1006,0.000874583480839502,1,8.353146825498083,8.353146825498083
100a,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,100a,100a,100a,0.013562623684180672,2,7.353146825498083,14.706293650996166
100b,2,4,4.578408682494225e-06,17.736722321395185,NN,1,{'NN'},0,100b,100b,100b,0.013562623684180672,2,7.353146825498083,14.706293650996166
100c,2,4,4.578408682494225e-06,17.736722321395185,VBD,2,"{'JJ', 'VBD'}",0,100c,100c,100c,0.013562623684180672,2,7.353146825498083,14.706293650996166
101,4,3,9.15681736498845e-06,16.736722321395185,CD,1,{'CD'},0,101,101,101,0.11975837742649581,1,8.353146825498083,8.353146825498083
101000000,1,9,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,101000000,101000000,101000000,0.000874583480839502,1,8.353146825498083,8.353146825498083
1019,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1019,1019,1019,0.000874583480839502,1,8.353146825498083,8.353146825498083
102,3,3,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,102,102,102,0.030894344487855347,2,7.353146825498083,14.706293650996166
104,4,3,9.15681736498845e-06,16.736722321395185,CD,3,"{'CD', 'NN', 'NNP'}",0,104,104,104,0.01665790146556932,3,6.768184324776926,20.30455297433078
1043,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1043,1043,1043,0.000874583480839502,1,8.353146825498083,8.353146825498083
1045,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1045,1045,1045,0.000874583480839502,1,8.353146825498083,8.353146825498083
105a,2,4,4.578408682494225e-06,17.736722321395185,VBD,2,"{'JJ', 'VBD'}",0,105a,105a,105a,0.013562623684180672,2,7.353146825498083,14.706293650996166
105b,2,4,4.578408682494225e-06,17.736722321395185,JJ,2,"{'JJ', 'NN'}",0,105b,105b,105b,0.013562623684180672,2,7.353146825498083,14.706293650996166
106,2,3,4.578408682494225e-06,17.736722321395185,VBD,2,"{'JJ', 'VBD'}",0,106,106,106,0.013562623684180672,2,7.353146825498083,14.706293650996166
1060,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1060,1060,1060,0.000874583480839502,1,8.353146825498083,8.353146825498083
1066,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1066,1066,1066,0.009804162940725449,1,8.353146825498083,8.353146825498083
107,3,3,6.867613023741338e-06,17.15175982067403,CD,3,"{'CD', 'JJ', 'NN'}",0,107,107,107,1.1363531745882105,3,6.768184324776926,20.30455297433078
107000,1,6,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,107000,107000,107000,0.000874583480839502,1,8.353146825498083,8.353146825498083
10721,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,10721,10721,10721,0.029939594356623953,1,8.353146825498083,8.353146825498083
108,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,108,108,108,0.059879188713247905,1,8.353146825498083,8.353146825498083
108a,2,4,4.578408682494225e-06,17.736722321395185,IN,2,"{'JJ', 'IN'}",0,108a,108a,108a,0.013562623684180672,2,7.353146825498083,14.706293650996166
108b,2,4,4.578408682494225e-06,17.736722321395185,RB,2,"{'NN', 'RB'}",0,108b,108b,108b,0.013562623684180672,2,7.353146825498083,14.706293650996166
109,3,3,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,109,109,109,0.008571659739432011,3,6.768184324776926,20.30455297433078
10949,1,5,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,10949,10949,10949,0.029939594356623953,1,8.353146825498083,8.353146825498083
10d,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,10d,10d,10d,0.001749166961679004,1,8.353146825498083,8.353146825498083
10s,3,3,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,10,10s,10s,0.002623750442518506,1,8.353146825498083,8.353146825498083
10th,5,4,1.1446021706235564e-05,16.414794226507823,CD,1,{'CD'},0,10th,10th,10th,0.019312136857593757,3,6.768184324776926,20.30455297433078
11,9,2,2.0602839071224014e-05,15.566797319952872,CD,4,"{'CD', 'JJ', 'NN', 'VB'}",0,11,11,11,0.023754192231819005,6,5.768184324776926,34.60910594866156
110,3,3,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,110,110,110,0.08981878306987187,1,8.353146825498083,8.353146825498083
11000,4,5,9.15681736498845e-06,16.736722321395185,CD,1,{'CD'},0,11000,11000,11000,0.010122075829844765,2,7.353146825498083,14.706293650996166
110000,3,6,6.867613023741338e-06,17.15175982067403,CD,1,{'CD'},0,110000,110000,110000,0.002623750442518506,1,8.353146825498083,8.353146825498083
11000000,1,8,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,11000000,11000000,11000000,0.000874583480839502,1,8.353146825498083,8.353146825498083
111,2,3,4.578408682494225e-06,17.736722321395185,CD,1,{'CD'},0,111,111,111,0.059879188713247905,1,8.353146825498083,8.353146825498083
1110,1,4,2.2892043412471126e-06,18.736722321395185,CD,1,{'CD'},0,1110,1110,1110,0.000874583480839502,1,8.353146825498083,8.353146825498083
